"","row id","country","iso3","latitude","longitude","glass_amr_enrolled","amr action plan","who_region","glass_status","nap_status_glass","number_of_priority_genomes","number_of_critical_genomes","number_of_klebsiella_genomes","nap_status_tracss","nap_type","surveillance_network","national_reference_lab","glass_status_metric","glass_data_metric","national_reference_lab_metric","surveillance_network_metric","number_of_priority_genomes_metric","number_of_critical_genomes_metric","number_of_klebsiella_genomes_metric"
"152",152,"Samoa","WSM","-13.834523","-171.763095","N","Y","WPRO","Not Enrolled - No data submitted","National Action Plan - Current",622,32,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Partial","500-1000","1-50",NA
"153",153,"San Marino","SMR","43.945862","12.458306","N","N","EURO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"No plan exists. ","N/A"," "," ","No",NA,NA,NA,NA,NA,NA
"154",154,"Sao Tome And Principe","STP","0.338924","6.731303","N","N","AFRO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","A - No capacity for generating data (antimicrobial susceptibility testing and accompanying clinical and epidemiological data) and reporting on antibiotic resistance.  ","No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ","No",NA,"No","No",NA,NA,NA
"155",155,"Saudi Arabia","SAU","24.638916","46.716010","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Current",1729,749,338,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","500-1000","100-500"
"156",156,"Senegal","SEN","14.693425","-17.447938","N","Y","AFRO","Not Enrolled - No data submitted","National Action Plan - Out of Date",60,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","Partial","50-100",NA,NA
"157",157,"Serbia","SRB","44.817813","20.456897","N","Y","EURO","Not Enrolled - No data submitted","National Action Plan - Out of Date",481,452,243,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","100-500","100-500","100-500"
"158",158,"Seychelles","SYC","-4.623208","55.452359","N","N","AFRO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","No",NA,NA,NA
"159",159,"Sierra Leone","SLE","8.479004","-13.267950","Y","Y","AFRO","Enrolled - No data submitted","National Action Plan - Out of Date",2,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","No","Yes","Yes","1-50",NA,NA
"160",160,"Singapore","SGP","1.357107","103.819499","Y","Y","WPRO","Enrolled - Data submitted","No National Action Plan",3335,2911,959,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","1000-5000","500-1000"
"161",161,"Slovakia","SVK","48.151699","17.109306","N","Y","EURO","Not Enrolled - No data submitted","National Action Plan - Out of Date",356,329,252,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","100-500","100-500","100-500"
"162",162,"Slovenia","SVN","46.050027","14.506929","N","Y","EURO","Not Enrolled - No data submitted","National Action Plan - Out of Date",1404,912,133,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Partial","1000-5000","500-1000","100-500"
"163",163,"Solomon Islands","SLB","-9.431077","159.955255","N","Y","WPRO","Not Enrolled - No data submitted","National Action Plan - Current",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","No",NA,NA,NA
"164",164,"Somalia","SOM","2.034931","45.341918","Y","Y","EMRO","Enrolled - Data submitted","No National Action Plan",3,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","Yes","Yes","Partial","1-50",NA,NA
"165",165,"South Africa","ZAF","-29.121070","26.214000","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",7491,1421,824,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","B - National action plan on AMR endorsed by government.  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","5000-10000","1000-5000","500-1000"
"166",166,"South Sudan","SSD","4.845925","31.595917","N","N","AFRO","Not Enrolled - No data submitted","No National Action Plan",7,7,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","A - No capacity for generating data (antimicrobial susceptibility testing and accompanying clinical and epidemiological data) and reporting on antibiotic resistance.  ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","No","1-50","1-50",NA
"167",167,"Spain","ESP","40.416705","-3.703582","N","Y","EURO","Not Enrolled - No data submitted","National Action Plan - Out of Date",11324,6474,2393,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","10000-50000","5000-10000","1000-5000"
"168",168,"Sri Lanka","LKA","6.888322","79.918741","Y","Y","SEARO","Enrolled - Data submitted","National Action Plan - Current",140,71,1,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","100-500","50-100","1-50"
"169",169,"Sudan","SDN","15.563597","32.534912","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Out of Date",18,12,1,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Partial","1-50","1-50","1-50"
"170",170,"Suriname","SUR","5.824176","-55.166281","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",4,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","B - National action plan on AMR endorsed by government.  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","1-50",NA,NA
"171",171,"Sweden","SWE","59.325117","18.071093","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",2937,1506,141,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","1000-5000","100-500"
"172",172,"Switzerland","CHE","46.948090","7.447440","Y","Y","EURO","Enrolled - Data submitted","No National Action Plan",9120,4759,497,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","5000-10000","1000-5000","100-500"
"173",173,"Syrian Arab Republic (Syria)","SYR","33.500000","37.383330","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Out of Date",2,1,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"1-50","1-50",NA
"174",174,"Taiwan","TWN","25.037520","121.563680","N","Y",NA,"Not Enrolled - No data submitted","No National Action Plan",894,518,42,NA,NA,NA,NA,"No",NA,NA,NA,"500-1000","500-1000","1-50"
"175",175,"Tajikistan","TJK","38.576271","68.786357","Y","Y","EURO","Enrolled - No data submitted","National Action Plan - Out of Date",1,1,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","No","Yes","No","1-50","1-50",NA
"176",176,"Thailand","THA","13.752494","100.493509","Y","Y","SEARO","Enrolled - Data submitted","National Action Plan - Out of Date",8494,3959,1502,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","5000-10000","1000-5000","1000-5000"
"177",177,"Timor-Leste","TLS","-8.553681","125.578409","Y","Y","SEARO","Enrolled - Data submitted","National Action Plan - Current",1,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","Yes","Yes","No","1-50",NA,NA
"178",178,"Togo","TGO","6.130419","1.215829","Y","Y","AFRO","Enrolled - No data submitted","National Action Plan - Out of Date",24,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","No","Yes","Partial","1-50",NA,NA
"179",179,"Tonga","TON","-21.134340","-175.201808","N","Y","WPRO","Not Enrolled - No data submitted","National Action Plan - Out of Date",4,1,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","Partial","1-50","1-50",NA
"180",180,"Trinidad and Tobago","TTO","10.657268","-61.518017","Y","N","AMRO","Enrolled - Data submitted","No National Action Plan",102,1,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","Yes","Yes","Partial","100-500","1-50",NA
"181",181,"Tunisia","TUN","33.843941","9.400138","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Out of Date",408,348,180,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","100-500","100-500","100-500"
"182",182,"Türkiye (Turkey)","TUR","39.401571","32.853645","Y","N","EURO","Enrolled - Data submitted","No National Action Plan",808,727,508,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","500-1000","500-1000","500-1000"
"183",183,"Turkmenistan","TKM","37.937832","58.235947","N","Y","EURO","Not Enrolled - No data submitted","National Action Plan - Current",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","Partial",NA,NA,NA
"184",184,"Tuvalu","TUV","-8.519963","179.198255","N","Y","WPRO","Not Enrolled - No data submitted","National Action Plan - Current",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","Partial",NA,NA,NA
"185",185,"Uganda","UGA","0.317714","32.581354","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",622,151,3,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","500-1000","100-500","1-50"
"186",186,"Ukraine","UKR","50.450034","30.524136","Y","N","EURO","Enrolled - Data submitted","No National Action Plan",174,173,3,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","Yes","Yes","Partial","100-500","100-500","1-50"
"187",187,"United Arab Emirates","ARE","24.453835","54.377401","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Out of Date",164,82,4,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","100-500","50-100","1-50"
"188",188,"United Kingdom of Great Britain and Northern Ireland","GBR","51.489334","-0.144055","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Current",147048,49804,3424,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","50000+","10000-50000","1000-5000"
"189",189,"United Republic of Tanzania (Tanzania)","TZA","-6.172210","35.739470","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Current",1277,693,196,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","500-1000","100-500"
"190",190,"United States of America","USA","38.895037","-77.036543","Y","Y","AMRO","Enrolled - Data submitted","National Action Plan - Current",303901,140066,18620,NA,NA,NA,NA,"Yes","Yes",NA,NA,"50000+","50000+","10000-50000"
"191",191,"Uruguay","URY","-34.905892","-56.191310","N","Y","AMRO","Not Enrolled - No data submitted","No National Action Plan",54,24,16,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","B - National action plan on AMR endorsed by government.  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","50-100","1-50","1-50"
"192",192,"Uzbekistan","UZB","41.312336","69.278708","N","N","EURO","Not Enrolled - No data submitted","No National Action Plan",3,3,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","No","1-50","1-50",NA
"193",193,"Vanuatu","VUT","-17.741497","168.315016","N","N","WPRO","Not Enrolled - No data submitted","No National Action Plan",3,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ","No",NA,"No","Partial","1-50",NA,NA
"194",194,"Venezuela, Bolivarian Republic of","VEN","10.488010","-66.879190","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",64,23,3,NA,NA,NA,NA,"No",NA,NA,NA,"50-100","1-50","1-50"
"195",195,"Viet Nam","VNM","21.028333","105.854041","Y","Y","WPRO","Enrolled - No data submitted","National Action Plan - Out of Date",3440,2209,934,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","No","Yes","Yes","1000-5000","1000-5000","500-1000"
"196",196,"Yemen","YEM","15.353857","44.205884","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Current",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","B - National action plan on AMR endorsed by government.  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes",NA,NA,NA
"197",197,"Zambia","ZMB","-15.416339","28.281841","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Current",363,327,141,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","100-500","100-500","100-500"
"198",198,"Zimbabwe","ZWE","-17.856703","31.060158","Y","Y","AFRO","Enrolled - No data submitted","National Action Plan - Out of Date",138,70,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","No","Yes","Partial","100-500","50-100",NA
